MSA,MSA_NO,unemp_2015,unemp_2016,unemp_2017,unemp_2018,unemp_2019,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
Lancaster,29540,3,3.7,3.3,3,3.4,520319,523957,526878,530012,533289,535811,538160,541332,543969,545724
Lansing-East Lansing,29620,3.2,3.3,3.9,3.2,2.7,534899,536605,537005,538089,540028,541271,545146,548380,548674,550391
Laredo,29700,4.5,4.5,3.4,3.7,3.6,251370,255935,260595,264430,267465,269865,272301,273691,275120,276652
Las Cruces,29740,6.8,6.7,6.1,5.5,5.2,210097,213126,214450,214288,213933,214034,214663,216174,217278,218195
Las Vegas-Henderson-Paradise,29820,6.2,5,4.9,4.5,3.5,1952587,1961925,1989224,2017193,2053134,2096717,2138836,2181635,2226115,2266715
Lawrence,29940,3.1,3.2,2.5,2.8,2.5,111198,112479,113313,114713,116445,118141,119662,120281,121109,122259
Lawton,30020,3.8,4.4,4.1,3.5,3.3,131569,132255,132696,131113,130909,130011,127676,127649,126348,126415
Lebanon,30140,3.4,3.8,3.8,3.5,4.1,133664,134529,135545,135804,136538,137479,138480,139553,141339,141793
Lewiston,30300,3.9,3.6,3.1,3.5,3.2,61040,61409,61413,61927,62031,62108,62422,62798,62872,62990
Lewiston-Auburn,30340,3.4,3,2.1,3.1,2.7,107708,107439,107486,107223,107358,107124,107296,107399,107914,108277
Lexington-Fayette,30460,4,3.3,2.9,3,3,473412,478930,485236,490906,495137,501469,507387,512381,514938,517056
Lima,30620,4.5,4.8,4.5,4.7,3.8,106358,105988,105244,105055,104848,104095,103613,103093,102725,102351
Lincoln,30700,2.5,2.8,2.4,2.4,2.4,302961,306619,310328,314103,319634,323090,327409,330975,333800,336374
Little Rock-North Little Rock-Conway,30780,4,3.3,3.4,3.3,3.1,702294,710682,717665,723159,728190,730889,734166,737557,740081,742384
Logan,30860,2.6,2.5,2.3,2.4,1.7,126167,127591,128693,129827,130804,132652,135521,137703,140104,142165
Longview,30980,7.5,7.2,4.1,3.8,3.7,280487,282427,283056,282589,283219,283767,283641,284602,285315,286657
Los Angeles-Long Beach-Anaheim,31080,5.3,4.4,3.9,4.1,3.6,12838417,12925753,13013443,13097434,13166609,13234696,13270694,13278000,13249879,13214799
Louisville/Jefferson County,31140,4.6,3.8,3.2,3.5,3.3,1204655,1211869,1220183,1232178,1239354,1246231,1252525,1259553,1262023,1265108
Lubbock,31180,3.1,3.2,2.7,2.8,2.5,292241,295338,297793,301167,306056,310001,313780,317094,319239,322257
Lynchburg,31340,4.3,4.3,3.8,2.8,2.9,252969,254190,255725,256832,257953,259447,260537,261813,262893,263566
Madison,31540,3.1,2.7,1.9,2.1,2.3,606625,613159,619719,626833,633369,640198,648388,655250,659927,664865
Manhattan,31740,2.8,3,2.4,2.8,2.4,128521,130746,137731,136294,135665,136989,134000,131667,131698,130285
Mansfield,31900,5.6,5.5,5.3,5.4,4.4,124162,123144,122633,122314,121999,121688,121242,120430,120987,121154
McAllen-Edinburg-Mission,32580,7.9,8.2,6.7,6.6,7,779149,795517,808334,818619,829819,839667,848960,856249,862298,868707
Medford,32780,6.1,4.7,4.1,4.8,3.1,203341,204747,205852,207179,209189,211403,214366,216746,219411,220944
Memphis,32820,6.1,5.3,3.7,3.7,3.9,1317489,1323741,1331396,1332114,1333432,1334790,1336204,1338582,1342497,1346045
Merced,32900,11.8,10.8,9.2,8.3,7.9,256721,259297,260867,262026,264419,266353,267628,271096,274151,277680
Miami-Fort Lauderdale-West Palm Beach,33100,5,4.9,3.9,3.3,2.2,5583394,5668271,5745743,5822754,5893858,5969135,6055686,6118155,6143837,6166488
Michigan City-La Porte,33140,6.4,5.6,4.2,4.7,4.2,111459,111317,111304,111423,111735,110835,110222,109842,109981,109888
Midland,33260,3.8,4.1,4.6,3.8,3.3,83651,83805,83721,83651,83492,83662,83422,83314,83223,83156
Milwaukee-Waukesha-West Allis,33340,4.4,3.9,2.7,2.8,3.1,1556678,1561296,1567248,1571732,1575002,1576496,1576004,1574444,1573995,1575179
Minneapolis-St. Paul-Bloomington,33460,3.2,3.6,2.9,2.8,3,3340007,3373392,3405952,3440782,3476192,3503728,3538527,3575699,3610061,3640043
Missoula,33540,4,3.7,4,3.7,3.5,109467,110245,111042,111900,112801,114122,116349,117834,118640,119600
Mobile,33660,6.8,7.1,4.2,4.2,3.2,430941,430423,430962,430815,431017,431294,431566,430567,430310,429536
Modesto,33700,9.1,8.3,6.8,6.2,5.6,515145,517560,520424,523451,528015,533211,539255,544717,548126,550660
Monroe,33740,5.1,5.5,4.1,5,5.7,204675,204886,205151,205454,205570,205668,205319,203894,202138,200261
Montgomery,33860,5.6,5.6,3.3,3.6,2.5,375119,375549,374872,374114,373476,373365,373865,374174,373022,373290
Morgantown,34060,4.2,3.6,4,4.1,3.7,130308,132678,134813,135948,137396,138523,139403,139608,139204,139044
Morristown,34100,5.9,5.3,3.3,3.3,3.5,136945,137560,137753,137924,138280,139212,139924,140898,141778,142749
Mount Vernon-Anacortes,34580,7,6.8,5.8,5.6,5.4,116944,117578,117714,118255,119966,121559,123603,125860,127835,129205
Muncie,34620,5.3,4.8,3.7,3.9,3.5,117665,117901,117027,116831,116487,115767,115657,115246,114297,114135
Napa,34900,5.1,4.4,3.6,3.2,2.9,136759,137691,138538,139580,140405,140862,140840,139878,138789,137744
Nashville-Davidson--Murfreesboro--Franklin,34980,4.2,3.8,2.4,2.3,2.4,1650831,1674534,1703609,1735012,1768350,1804671,1841294,1874515,1904726,1934317
New Orleans-Metairie,35380,4.6,4.8,3.7,4,4.4,1195324,1214008,1226887,1239584,1248905,1260281,1267613,1270326,1270133,1270530
New York-Newark-Jersey City,35620,4.5,4.1,4,3.6,3.4,18923407,19052774,19149689,19226449,19280929,19320968,19334778,19322607,19276644,19216182
Ocala,36100,5.7,5.7,4.3,3.9,3.2,331331,332286,333873,335083,338005,342182,347469,353339,359062,365579
Ocean City,36140,11.9,11.5,11.8,10.3,10,97212,96494,96228,95498,94907,94160,93655,93129,92446,92039
Odessa,36220,5.1,5.4,3.3,2.4,2.9,137075,139642,144495,149656,154588,159903,157858,156951,161960,166223
Ogden-Clearfield,36260,3.1,2.8,3,2.9,2,599740,605591,612185,621224,630767,640334,652476,664040,673660,683864
Oklahoma City,36420,3.4,4,3.4,2.8,2.8,1257793,1277045,1297857,1320148,1336256,1357178,1372985,1381492,1393605,1408950
Omaha-Council Bluffs,36540,3.1,3.2,2.8,2.8,2.7,867671,876022,884555,893864,903335,913073,923431,931987,940970,949442
Orlando-Kissimmee-Sanford,36740,4.4,4.2,3.3,3,2.5,2139161,2176054,2225636,2270149,2324391,2388509,2455583,2517777,2574838,2608147
Oshkosh-Neenah,36780,3.8,3.3,2.4,2.4,2.8,167073,167493,168525,169283,169324,169246,169629,170394,170878,171907
Owensboro,36980,4.9,4.3,3.7,3.5,3.6,114770,115255,115972,116373,116529,117521,118092,118455,118879,119440
Oxnard-Thousand Oaks-Ventura,37100,5.5,4.8,3.8,3.8,3.4,825097,830099,833516,838136,842297,845802,847323,849044,848142,846006
Palm Bay-Melbourne-Titusville,37340,5.2,4.9,3.7,3.2,2.7,543965,544359,546966,550255,555548,565746,576874,587769,595203,601942
Pensacola-Ferry Pass-Brent,37860,4.8,4.7,3.5,3.2,2.7,450946,455139,461613,467086,470628,475537,481367,487298,494399,502629
Peoria,37900,7.3,6.6,4.9,5.8,4.6,416051,416687,416866,418092,415479,412856,410754,406913,403328,400561
Philadelphia-Camden-Wilmington,37980,4.1,4.4,4.2,3.6,4,5970899,5996232,6016616,6030134,6046382,6056816,6066661,6078522,6091208,6102434
Phoenix-Mesa-Scottsdale,38060,4.7,4.1,3.9,4.3,3.7,4204204,4253037,4329756,4403121,4488970,4578519,4673336,4758748,4849209,4948203
Pine Bluff,38220,6.3,5.2,4.9,5.1,5.1,100107,99052,97423,95769,94882,94022,92380,90875,89246,87804
Pittsburgh,38300,4.2,5.2,4.5,3.8,4.6,2357090,2360417,2360443,2359803,2356189,2347757,2340222,2329004,2322653,2317600
Pittsfield,38340,5.5,3.6,4,3.7,3.2,131317,130547,130284,129488,128856,127858,127067,126353,125901,124944
Pocatello,38540,3.5,3.3,2.8,2.7,2.7,90892,91421,91585,91246,91265,91871,92357,93088,94374,95489
Portland-Vancouver-Hillsboro,38900,4.8,4,3.6,3.9,2.8,2232181,2262834,2288465,2311015,2343994,2381660,2426575,2454815,2473350,2492412
Provo-Orem,39340,2.6,2.5,2.5,2.6,1.9,530262,541001,549980,561534,571059,583218,601304,618035,633149,648252
Pueblo,39380,4.9,4.1,4.7,5.8,3.6,159390,160184,160721,161033,161356,163006,164774,166283,167422,168424
Punta Gorda,39460,5.1,5.1,3.8,3.8,3,159875,159869,162744,164671,168041,172382,177671,181522,184849,188910
Racine,39540,5,4.4,3.2,3.3,3.8,195406,194908,194594,194680,194786,194672,194846,195825,196357,196311
Raleigh,39580,4.4,4.1,3.8,3.3,2.9,1137383,1162179,1187848,1213499,1241189,1271091,1303854,1334235,1361590,1390785
Rapid City,39660,3.2,3.2,3.8,3.2,3.7,126727,127903,130075,132320,134231,134858,136450,138444,140154,142107
